,Home_team_current_form,Away_team_current_form,Home_team home_form
0,10,1,10
1,8,11,5
2,2,8,4
3,8,8,8
4,13,1,12
5,11,1,11
6,5,8,7
7,7,10,6
8,8,7,6
9,3,8,4
10,11,8,11
11,11,4,15
12,9,15,6
13,8,4,10
14,15,1,12
15,6,4,11
16,1,13,4
17,7,8,9
18,7,7,7
19,7,8,5
20,8,9,8
21,9,7,9
22,2,15,4
23,1,7,1
24,8,3,8
25,10,3,15
26,5,9,8
27,8,10,11
28,0,8,0
29,9,6,7
30,7,10,13
31,8,8,11
32,13,3,13
33,11,1,11
34,6,13,4
35,8,0,11
36,1,11,1
37,9,5,8
38,13,5,13
39,11,7,13
40,5,9,6
41,9,5,9
42,10,8,15
43,8,9,7
44,8,9,8
45,4,13,7
46,13,4,13
47,10,8,8
48,4,12,10
49,1,10,1
50,7,8,5
51,12,2,9
52,9,7,8
53,12,7,15
54,15,10,15
55,2,10,1
56,12,7,12
57,7,15,6
58,15,2,15
59,9,12,6
60,12,12,13
61,12,15,12
62,12,12,13
63,5,7,7
64,7,6,11
65,12,4,15
66,4,10,3
67,7,3,5
68,3,9,3
69,10,7,11
70,7,7,13
71,4,10,2
72,10,2,10
73,2,12,2
74,2,10,3
75,11,5,11
76,3,10,4
77,4,9,7
78,7,3,13
79,10,4,15
80,4,7,1
81,10,2,13
82,0,10,0
83,1,9,2
84,9,0,9
85,4,4,4
86,2,7,4
87,4,11,4
88,4,5,5
89,10,1,15
90,7,10,7
91,4,9,8
92,4,3,10
93,10,2,15
94,13,0,13
95,10,3,6
96,7,7,6
97,4,9,3
98,4,2,10
99,9,9,11
100,10,0,7
101,5,7,9
102,5,7,8
103,10,8,12
104,8,4,5
105,13,0,13
106,0,10,0
107,7,4,9
108,11,3,11
109,9,4,13
110,3,12,7
111,8,11,4
112,7,0,6
113,4,10,4
114,2,9,5
115,12,1,12
116,11,8,11
117,8,0,4
118,7,10,9
119,4,3,4
120,2,9,5
121,12,10,11
122,12,1,12
123,11,3,5
124,2,6,3
125,9,2,12
126,12,2,9
127,9,3,13
128,1,12,0
129,6,9,3
130,11,4,7
131,2,11,2
132,2,10,3
133,1,12,1
134,6,3,5
135,3,8,2
136,12,0,12
137,9,2,13
138,3,13,4
139,5,15,5
140,1,13,3
141,8,0,11
142,0,11,0
143,12,6,15
144,2,12,2
145,12,13,9
146,5,8,5
147,12,4,15
148,2,13,2
149,8,0,13
150,5,5,5
151,0,10,0
152,7,12,3
153,10,12,12
154,6,10,5
155,2,13,5
156,6,4,5
157,13,1,15
158,10,6,10
159,0,13,3
160,12,0,12
161,8,5,8
162,13,3,12
163,0,13,0
164,12,2,8
165,7,9,6
166,10,5,10
167,12,0,15
168,8,8,10
169,13,2,12
170,12,0,10
171,15,1,13
172,8,3,8
173,2,11,3
174,9,1,13
175,4,10,6
176,8,2,8
177,5,0,7
178,4,8,6
179,7,10,4
180,1,9,5
181,8,3,10
182,5,3,6
183,15,0,13
184,13,1,15
185,12,6,15
186,10,3,15
187,8,1,10
188,5,3,7
189,11,7,15
190,8,9,11
191,11,13,13
192,6,13,5
193,10,5,15
194,11,6,10
195,11,10,13
196,10,11,12
197,10,4,13
198,6,1,8
199,11,6,13
200,10,11,10
201,6,2,5
202,11,3,13
203,0,10,1
204,8,4,10
205,4,6,8
206,12,0,12
207,11,1,11
208,3,9,3
209,8,3,8
210,4,3,3
211,5,8,7
212,8,11,10
213,9,1,12
214,6,11,7
215,3,4,7
216,5,6,4
217,0,8,0
218,11,3,11
219,3,6,1
220,4,10,4
221,7,3,7
222,9,4,12
223,6,3,6
224,10,1,13
225,10,0,13
226,2,9,4
227,10,7,10
228,6,5,10
229,5,4,5
230,10,9,9
231,10,1,13
232,7,9,10
233,7,1,10
234,6,9,7
235,3,10,1
236,7,4,9
237,7,7,1
238,4,12,2
239,1,5,2
240,11,6,11
241,7,7,7
242,7,9,8
243,13,1,13
244,15,6,13
245,6,8,13
246,10,4,10
247,8,8,5
248,13,3,13
249,10,12,10
250,9,13,9
251,12,10,10
252,5,10,5
253,2,10,3
254,4,3,7
255,6,11,6
256,2,6,3
257,0,8,4
258,0,7,4
259,4,5,7
260,0,4,0
261,5,5,8
262,3,5,3
263,8,7,5
264,2,1,2
265,8,10,5
266,1,10,5
267,13,2,13
268,1,8,4
269,0,7,0
270,8,3,5
271,1,4,4
272,5,2,5
273,5,4,8
274,4,8,1
275,10,0,13
276,5,7,9
277,7,1,6
278,1,15,3
279,8,2,6
280,0,7,2
281,8,2,10
282,9,0,8
283,0,10,0
284,8,1,13
285,3,8,8
286,6,4,6
287,13,2,7
288,8,15,9
289,7,6,8
290,5,5,5
291,8,7,8
292,11,4,13
293,3,7,0
294,1,10,0
295,5,10,3
296,12,7,7
297,10,6,10
298,8,8,5
299,15,7,13
300,7,8,3
301,13,7,13
302,2,11,3
303,11,9,8
304,12,0,10
305,5,2,7
306,8,10,8
307,0,8,0
308,13,8,11
309,10,10,11
310,9,1,6
311,5,11,7
312,10,2,5
313,1,12,2
314,5,6,8
315,2,12,0
316,0,13,0
317,0,11,0
318,11,0,13
319,12,2,10
320,12,4,12
321,7,2,7
322,11,10,11
323,3,4,6
324,5,11,2
325,13,0,13
326,4,10,3
327,4,10,2
328,4,1,7
329,7,1,10
330,12,2,8
331,13,0,11
332,8,2,11
333,2,11,4
334,5,10,6
335,5,8,5
336,10,11,12
337,11,1,11
338,10,0,12
339,15,2,10
340,2,11,2
341,7,15,8
342,11,5,10
343,1,8,1
344,12,1,12
345,15,2,12
346,15,1,15
347,15,2,15
348,15,2,15
349,8,9,10
350,15,10,12
351,10,15,7
352,4,3,4
353,11,0,13
354,3,13,7
355,3,15,3
356,0,13,1
357,15,3,15
358,2,8,5
359,15,6,13
360,1,15,0
361,11,4,11
362,8,10,10
363,6,2,8
364,11,9,10
365,11,8,7
366,15,0,15
367,8,6,10
368,1,10,4
369,2,13,2
370,3,15,1
371,10,4,12
372,0,10,1
373,11,0,13
374,15,1,15
375,10,1,12
376,15,1,13
377,13,0,15
378,10,0,11
379,12,0,10
380,8,5,8
381,3,13,4
382,5,10,6
383,7,15,9
384,10,13,10
385,10,7,11
386,13,1,12
387,10,10,12
388,10,0,15
389,9,9,11
390,1,15,4
391,10,0,10
392,10,15,10
393,6,10,8
394,13,5,13
395,8,11,13
396,9,3,13
397,11,8,8
398,15,1,12
399,9,6,9
400,12,7,9
401,13,2,15
402,10,13,13
403,8,10,8
404,6,3,10
405,15,9,12
406,5,5,7
407,6,5,7
408,9,3,10
409,8,13,11
410,10,10,13
411,6,5,6
412,6,9,6
413,11,10,13
414,0,3,1
415,9,0,12
416,11,0,13
417,10,6,10
418,7,7,9
419,8,1,8
420,6,0,12
421,3,11,4
422,3,3,10
423,10,1,10
424,1,12,2
425,0,9,0
426,5,1,10
427,7,8,7
428,8,4,8
429,13,0,15
430,11,4,13
431,9,5,9
432,7,9,7
433,13,3,15
434,11,5,13
435,10,9,8
436,7,7,7
437,7,11,13
438,10,2,10
439,4,11,8
440,7,0,10
441,9,5,9
442,1,8,2
443,4,11,6
444,12,8,12
445,4,7,8
446,1,10,7
447,0,13,1
448,9,4,9
449,5,11,7
450,7,1,6
451,12,9,12
452,10,10,10
453,5,7,4
454,12,7,12
455,10,10,13
456,12,10,12
457,4,5,2
458,8,10,8
459,9,1,10
460,8,2,10
461,4,8,5
462,2,4,2
463,6,7,9
464,10,0,15
465,6,7,4
466,10,0,9
467,8,7,13
468,3,10,7
469,5,10,3
470,5,5,7
471,6,2,8
472,8,1,9
473,1,12,2
474,3,6,2
475,0,8,2
476,6,8,5
477,8,5,11
478,0,10,0
479,10,7,9
480,7,10,8
481,12,0,12
482,8,4,7
483,10,9,13
484,6,8,6
485,0,8,0
486,1,10,1
487,2,8,1
488,5,4,4
489,7,9,3
490,8,5,13
491,1,6,7
492,0,13,0
493,0,9,0
494,9,2,11
495,5,9,6
496,1,3,1
497,11,4,12
498,10,3,12
499,0,13,0
500,5,4,4
501,9,7,4
502,10,2,5
503,6,0,11
504,12,3,13
505,1,13,1
506,3,6,4
507,9,10,13
508,3,13,3
509,12,10,12
510,0,12,0
511,6,2,3
512,10,11,13
513,9,6,5
514,10,7,6
515,8,7,11
516,11,10,7
517,12,3,15
518,11,0,13
519,4,3,4
520,10,1,13
521,7,1,5
522,0,11,1
523,12,2,15
524,10,1,12
525,6,11,3
526,4,10,3
527,13,0,13
528,10,0,13
529,13,3,13
530,2,7,2
531,13,5,13
532,13,0,15
533,0,6,0
534,5,11,3
535,3,10,2
536,3,10,9
537,1,13,7
538,7,7,7
539,13,6,15
540,1,10,1
541,5,11,3
542,10,2,12
543,4,1,4
544,6,7,4
545,13,2,15
546,6,13,2
547,2,5,5
548,0,10,0
549,0,13,7
550,11,4,6
551,10,4,10
552,9,7,11
553,11,4,13
554,1,7,1
555,11,10,9
556,8,7,13
557,13,3,11
558,4,5,9
559,11,5,9
560,2,2,7
561,8,8,8
562,10,2,10
563,5,5,3
564,10,1,7
565,7,12,10
566,9,0,9
567,10,7,7
568,13,8,13
569,13,6,15
570,11,4,13
571,0,13,0
572,6,10,5
573,11,0,11
574,13,0,15
575,6,7,5
576,5,5,5
577,11,1,13
578,6,12,9
579,1,9,2
580,10,0,10
581,7,3,10
582,7,13,7
583,0,4,0
584,13,0,13
585,4,9,4
586,5,9,2
587,5,13,8
588,11,7,11
589,7,11,9
590,4,13,7
591,10,4,10
592,9,2,13
593,11,4,11
594,13,1,15
595,6,4,4
596,2,13,1
597,9,7,5
598,9,7,13
599,13,0,13
600,7,0,10
601,7,0,7
602,13,1,11
603,3,7,6
604,11,3,11
605,13,1,15
606,0,13,0
607,4,8,3
608,13,3,15
609,12,2,15
610,11,7,13
611,10,13,8
612,13,1,15
613,8,4,5
614,13,4,11
615,4,11,5
616,9,7,7
617,1,13,1
618,5,11,6
619,10,10,8
620,2,8,1
621,11,4,11
622,12,3,15
623,8,7,10
624,13,7,11
625,0,11,0
626,0,7,1
627,10,1,8
628,2,13,1
629,7,5,5
630,13,1,13
631,7,1,12
632,10,1,12
633,1,7,3
634,5,8,3
635,8,8,7
636,9,9,10
637,10,8,7
638,10,2,10
639,10,0,15
640,10,1,10
641,13,0,15
642,11,3,11
643,15,6,15
644,8,6,13
645,10,7,10
646,6,11,2
647,10,2,10
648,10,1,13
649,9,5,11
650,15,0,15
651,0,13,1
652,11,6,11
653,10,8,10
654,10,0,10
655,11,1,13
656,13,3,13
657,15,2,15
658,0,13,0
659,4,13,3
660,9,2,13
661,10,7,10
662,13,4,13
663,13,5,13
664,15,0,15
665,13,1,13
666,9,2,11
667,15,0,15
668,11,8,11
669,13,2,13
670,13,1,13
671,6,13,5
672,11,3,11
673,15,1,15
674,1,9,7
675,1,15,1
676,0,11,0
677,15,6,15
678,13,1,15
679,15,8,15
680,11,7,11
681,12,11,12
682,15,3,15
683,13,5,11
684,8,11,12
685,10,15,12
686,12,13,12
687,12,13,12
688,12,9,12
689,15,12,13
690,5,10,6
691,9,1,8
692,5,12,5
693,10,7,12
694,12,5,12
695,4,10,6
696,12,4,10
697,9,6,13
698,10,0,12
699,0,12,1
700,12,3,12
701,10,4,10
702,0,10,0
703,1,9,1
704,8,0,5
705,10,1,12
706,0,9,0
707,1,4,7
708,12,7,11
709,3,10,5
710,2,12,1
711,10,4,11
712,7,7,8
713,0,12,0
714,2,10,3
715,10,3,10
716,15,0,12
717,9,4,13
718,7,4,10
719,4,0,12
720,13,9,7
721,6,6,6
722,5,4,8
723,8,0,8
724,4,9,5
725,6,10,7
726,12,0,11
727,0,7,0
728,13,3,11
729,4,4,10
730,5,15,6
731,7,2,12
732,4,10,9
733,7,7,8
734,1,13,1
735,12,9,11
736,8,7,8
737,11,8,11
738,7,1,12
739,6,9,9
740,9,8,10
741,10,7,12
742,6,4,5
743,5,6,7
744,9,4,10
745,13,6,15
746,11,3,11
747,3,13,4
748,6,9,7
749,3,3,3
750,2,9,5
751,9,7,11
752,12,3,12
753,12,0,10
754,9,9,9
755,0,5,0
756,12,2,12
757,10,9,12
758,10,9,8
759,0,6,0
760,6,10,6
761,3,11,3
762,12,5,12
763,2,9,3
764,6,7,8
765,3,13,4
766,0,13,2
767,12,3,12
768,10,0,12
769,6,3,9
770,8,11,9
771,1,12,1
772,1,11,1
773,0,8,0
774,0,9,1
775,4,0,7
776,12,0,12
777,12,5,12
778,9,1,9
779,1,15,1
780,2,13,2
781,0,13,0
782,1,9,1
783,3,5,6
784,8,12,5
785,9,15,6
786,3,10,6
787,12,3,12
788,4,15,5
789,8,10,5
790,10,3,5
791,6,13,6
792,10,13,9
793,12,1,11
794,7,7,13
795,12,1,15
796,3,12,9
797,3,12,6
798,10,3,7
799,10,15,9
800,15,4,12
801,2,4,1
802,5,10,3
803,7,5,11
804,13,0,12
805,3,10,8
806,0,7,0
807,5,5,4
808,6,13,10
809,12,0,10
810,0,10,0
811,10,4,9
812,1,13,4
813,10,0,11
814,7,9,6
815,15,3,15
816,8,1,7
817,6,11,5
818,10,0,12
819,3,12,3
820,10,6,9
821,10,0,11
822,2,9,1
823,9,0,11
824,5,9,8
825,8,10,5
826,1,12,2
827,8,4,10
828,10,1,12
829,10,0,12
830,12,0,13
831,10,8,12
832,11,1,11
833,9,13,12
834,11,4,12
835,0,8,0
836,6,9,5
837,9,9,9
838,8,4,10
839,3,13,5
840,15,0,13
841,11,7,9
842,13,7,15
843,4,8,6
844,0,8,2
845,9,9,4
846,9,5,12
847,15,6,12
848,15,10,13
849,13,8,15
850,0,12,1
851,7,4,7
852,8,6,10
853,7,15,6
854,7,10,10
855,13,12,15
856,4,10,5
857,15,1,12
858,6,12,7
859,12,1,13
860,8,1,10
861,11,7,8
862,9,2,12
863,10,7,13
864,9,4,4
865,12,6,15
866,8,3,11
867,11,5,8
868,7,3,8
869,15,1,15
870,2,10,2
871,13,1,13
872,0,9,0
873,10,1,11
874,15,2,15
875,7,5,10
876,13,10,11
877,13,9,13
878,8,11,7
879,7,6,12
880,15,4,15
881,9,9,3
882,10,10,7
883,7,6,13
884,13,8,13
885,4,6,9
886,6,15,5
887,6,9,8
888,0,10,0
889,5,7,10
890,13,5,13
891,1,15,6
892,9,12,7
893,12,9,12
894,15,7,15
895,12,4,11
896,9,15,8
897,9,15,10
898,4,15,9
899,10,7,10
900,12,3,12
901,5,1,11
902,9,0,9
903,7,10,8
904,2,8,8
905,1,4,2
906,6,7,5
907,0,10,0
908,4,4,3
909,6,0,10
910,1,8,1
911,1,12,1
912,0,6,0
913,6,2,4
914,0,9,0
915,7,7,9
916,15,3,15
917,7,13,6
918,4,10,6
919,6,2,10
920,3,5,6
921,10,3,11
922,0,9,1
923,5,7,4
924,6,7,9
925,15,2,15
926,4,4,6
927,7,1,10
928,2,8,4
929,13,2,10
930,0,15,0
931,10,7,12
932,12,0,6
933,7,2,9
934,6,7,8
935,5,3,6
936,4,7,5
937,10,1,10
938,4,13,4
939,7,15,9
940,13,1,12
941,12,9,3
942,11,0,11
943,2,10,3
944,8,4,7
945,7,5,12
946,8,3,10
947,10,15,9
948,10,11,4
949,1,8,1
950,12,4,9
951,5,7,3
952,15,7,15
953,7,8,12
954,8,0,9
955,8,9,7
956,7,5,9
957,8,5,5
958,5,3,7
959,15,12,15
960,1,13,4
961,7,3,9
962,12,0,13
963,9,0,9
964,4,6,4
965,0,8,1
966,0,8,0
967,13,4,9
968,6,2,8
969,15,1,15
970,8,0,8
971,6,4,7
972,12,1,13
973,10,0,10
974,6,3,8
975,8,2,9
976,13,4,12
977,7,1,6
978,1,15,5
979,1,9,6
980,5,8,7
981,1,7,1
982,8,4,6
983,7,10,7
984,0,10,0
985,9,1,7
986,1,10,3
987,1,13,5
988,8,5,11
989,1,12,1
990,0,15,0
991,12,0,13
992,1,11,1
993,10,1,13
994,13,5,15
995,1,15,0
996,1,13,6
997,15,0,15
998,6,10,6
999,0,15,1
1000,9,10,10
1001,12,4,12
1002,0,12,1
1003,0,13,0
1004,10,1,6
1005,0,12,0
1006,0,11,1
1007,4,12,4
1008,13,13,13
1009,7,4,5
1010,10,6,12
1011,7,7,8
1012,6,11,7
1013,13,0,15
1014,10,4,7
1015,3,7,3
1016,13,0,9
1017,13,8,13
1018,6,3,8
1019,12,1,12
1020,10,5,10
1021,4,1,5
1022,13,4,15
1023,13,0,9
1024,6,11,7
1025,7,2,10
1026,1,5,2
1027,6,13,7
1028,2,8,6
1029,12,1,12
1030,4,15,5
1031,8,11,8
1032,3,1,7
1033,11,0,10
1034,7,0,8
1035,3,8,2
1036,8,6,8
1037,11,6,11
1038,4,15,5
1039,4,10,8
1040,6,15,6
1041,10,4,15
1042,4,3,4
1043,11,4,10
1044,13,3,10
1045,7,1,11
1046,11,1,12
1047,13,0,13
1048,6,3,10
1049,13,9,12
1050,8,5,11
1051,3,11,2
1052,11,9,10
1053,13,6,13
1054,15,9,12
1055,4,3,6
1056,9,0,10
1057,4,15,3
1058,6,15,3
1059,11,4,11
